code,system
O242,icd10
237627000,icd10
609563008,icd10
E13,icd10
658011000000104,icd10
H280,icd10
768792007,icd10
421920002,icd10
43959009,icd10
768794008,icd10
420756003,icd10
E11,icd10
O240,icd10
O241,icd10
E10,icd10
23045005,icd10
314903002,icd10
237618001,icd10
199230006,icd10
46635009,icd10
O243,icd10
E14,icd10
G590,icd10
361216007,icd10
420436000,icd10
420918009,icd10
230577008,icd10
N083,icd10
5368009,icd10
237616002,icd10
267467004,icd10
81531005,icd10
73211009,icd10
33559001,icd10
335621000000101,icd10
735200002,icd10
530558861000132104,icd10
44054006,icd10
197605007,icd10
H360,icd10
422034002,icd10
420789003,icd10
390853009,icd10
4855003,icd10
E12,icd10
420996007,icd10
M142,icd10
201724008,icd10
314893005,icd10
G632,icd10
724810001,icd10
713705003,icd10
713706002,icd10
230576004,icd10
49455004,icd10
441656006,icd10
237621004,icd10
367991000119101,icd10
314011005,icd10
390854003,icd10
769244003,icd10
232020009,icd10
314010006,icd10
739681000,icd10
422099009,icd10
25093002,icd10
444073006,icd10
170763003,icd10
443694000,icd10
268519009,icd10
237622006,icd10
472972006,icd10
237604008,icd10
703136005,icd10
703137001,icd10
703138006,icd10
314015001,icd10
237620003,icd10
1511000119107,icd10
193185007,icd10
424736006,icd10
230572002,icd10
50620007,icd10
314904008,icd10
71771000119100,icd10
773001000000103,icd10
140381000119104,icd10
201251005,icd10
769222008,icd10
770097006,icd10
312912001,icd10
769217008,icd10
769221001,icd10
769218003,icd10
399864000,icd10
769219006,icd10
399870006,icd10
190412005,icd10
190411003,icd10
190407009,icd10
74627003,icd10
422228004,icd10
313436004,icd10
385041000000108,icd10
238981002,icd10
190388001,icd10
421256007,icd10
190410002,icd10
313435000,icd10
111552007,icd10
112991000000101,icd10
762489000,icd10
422014003,icd10
420868002,icd10
419100001,icd10
426705001,icd10
791000119109,icd10
761000119102,icd10
5969009,icd10
420662003,icd10
140521000119107,icd10
314014002,icd10
201250006,icd10
310505005,icd10
395204000,icd10
238982009,icd10
309426007,icd10
230579006,icd10
398140007,icd10
238984005,icd10
308106006,icd10
201723002,icd10
280137006,icd10
48951005,icd10
724136006,icd10
200687002,icd10
707221002,icd10
62260007,icd10
193489006,icd10
238983004,icd10
713702000,icd10
713703005,icd10
713704004,icd10
1491000119102,icd10
312910009,icd10
127011001,icd10
126534007,icd10
110181000119105,icd10
421779007,icd10
420486006,icd10
185756006,icd10
1066911000000100,icd10
401110002,icd10
236499007,icd10
420715001,icd10
80660001,icd10
312907002,icd10
769182000,icd10
312909004,icd10
769183005,icd10
408414006,icd10
408413000,icd10
408411003,icd10
59276001,icd10
769184004,icd10
193349004,icd10
312908007,icd10
769181007,icd10
408412005,icd10
237612000,icd10
236500003,icd10
609562003,icd10
532411000000102,icd10
190331003,icd10
609561005,icd10
609572000,icd10
190372001,icd10
134395001,icd10
193141005,icd10
421986006,icd10
420514000,icd10
157141000119108,icd10
31211000119101,icd10
10754881000119104,icd10
106281000119103,icd10
422275004,icd10
190369008,icd10
421631007,icd10
420825003,icd10
421365002,icd10
421895002,icd10
422166005,icd10
401191002,icd10
412752009,icd10
722161008,icd10
408397002,icd10
127014009,icd10
314902007,icd10
25412000,icd10
104941000119109,icd10
399866003,icd10
232023006,icd10
719216001,icd10
237632004,icd10
237633009,icd10
314771006,icd10
185757002,icd10
1066921000000106,icd10
8801005,icd10
771571000000102,icd10
368601000119102,icd10
237601000,icd10
754101000000103,icd10
24481000000101,icd10
170745003,icd10
754121000000107,icd10
724997001,icd10
1067201000000106,icd10
87451000119102,icd10
371087003,icd10
422183001,icd10
190389009,icd10
140391000119101,icd10
190368000,icd10
10660471000119109,icd10
314537004,icd10
70694009,icd10
51002006,icd10
408409007,icd10
408410002,icd10
308105005,icd10
390850007,icd10
408540003,icd10
312905005,icd10
390834004,icd10
413183008,icd10
312906006,icd10
312904009,icd10
312903003,icd10
26298008,icd10
735538002,icd10
190406000,icd10
421750000,icd10
111556005,icd10
420422005,icd10
420270002,icd10
421075007,icd10
421847006,icd10
390855002,icd10
894741000000107,icd10
2751001,icd10
413184002,icd10
39058009,icd10
267604001,icd10
170747006,icd10
75682002,icd10
24471000000103,icd10
311782002,icd10
193350004,icd10
127012008,icd10
237610008,icd10
754461000000105,icd10
775841000000109,icd10
279321000000104,icd10
279291000000109,icd10
769245002,icd10
769186002,icd10
769185003,icd10
193184006,icd10
731000119105,icd10
230575000,icd10
472970003,icd10
472969004,icd10
284449005,icd10
237608006,icd10
399871005,icd10
417677008,icd10
445353002,icd10
11530004,icd10
310425007,icd10
1083111000000108,icd10
1109921000000106,icd10
75524006,icd10
1110921000000100,icd10
185760009,icd10
185759004,icd10
237613005,icd10
303059007,icd10
230574001,icd10
193183000,icd10
414894003,icd10
414910007,icd10
237599002,icd10
422126006,icd10
190330002,icd10
237651005,icd10
763325000,icd10
237652003,icd10
290002008,icd10
127013003,icd10
420279001,icd10
421893009,icd10
190447002,icd10
190416008,icd10
367261000119100,icd10
1066931000000108,icd10
185758007,icd10
232022001,icd10
232021008,icd10
421326000,icd10
421468001,icd10
422088007,icd10
420683009,icd10
237617006,icd10
237619009,icd10
429729007,icd10
198121000000103,icd10
198131000000101,icd10
170766006,icd10
385051000000106,icd10
199231005,icd10
426875007,icd10
83728000,icd10
408539000,icd10
705072004,icd10
111307005,icd10
267471001,icd10
399865004,icd10
